instancia;nodos;distancia;nodos_visitados;nodos_cubiertos;suma_P_cubiertos;suma_P_total;cobertura;tiempo;;;;;;;;;;;
MVPTP_CALI_12_1.dat;12;1020,23;12;10;3,355;3,497;0,959393766;0,0018735;;;;;;;;;;;
MVPTP_CALI_12_2.dat;12;891,1;12;10;3,359;3,501;0,95944016;0,0016968;;;|I|;Cob. GPDH;Dist. GPDH;Tiempo GPDH;Cob. Modelo;Dist. Modelo;Tiempo Modelo;? relativa Cob. Modelo vs GPDH;
MVPTP_CALI_12_3.dat;12;980,79;12;11;5,193;5,378;0,965600595;0,0023719;;;8;97,05%;555,35;0,0012;100,00%;363,22;241,48;-3,04%;2,95%
MVPTP_CALI_12_4.dat;12;683,55;12;8;3,649;5,345;0,682694107;0,0017411;;;12;85,16%;894,47;0,0019;97,87%;699,53;361,64;-14,92%;12,70%
MVPTP_CALI_12_5.dat;12;896,7;12;8;2,309;3,342;0,690903651;0,0016403;;;16;33,57%;792,40;0,0030;82,61%;690,04;601,31;-146,05%;49,04%
MVPTP_CALI_16_1.dat;16;821,96;15;2;0,639;6,421;0,099517209;0,0032545;;;20;36,09%;820,28;0,0041;75,16%;557,93;601,48;-108,23%;39,06%
MVPTP_CALI_16_2.dat;16;777,77;15;4;1,568;6,613;0,237108725;0,0033671;;;24;25,54%;869,18;0,0054;65,26%;610,17;601,60;-155,55%;39,73%
MVPTP_CALI_16_3.dat;16;872,05;16;5;2,004;5,193;0,385904102;0,0028474;;;28;27,05%;983,74;0,0062;66,23%;742,64;601,75;-144,81%;39,17%
MVPTP_CALI_16_4.dat;16;691,89;16;8;2,642;5,078;0,520283576;0,0028626;;;;;;;;;;;
MVPTP_CALI_16_5.dat;16;798,34;16;8;2,089;4,792;0,435934891;0,002605;;;;;;;;;;;
MVPTP_CALI_20_1.dat;20;691,93;19;5;2,042;7,125;0,286596491;0,0040264;;;;;;;;;;;
MVPTP_CALI_20_2.dat;20;710,4;19;3;1,406;7,363;0,190954774;0,004248;;;;;;;;;;;
MVPTP_CALI_20_3.dat;20;856,47;19;6;2,142;6,389;0,335263735;0,0039347;;;;;;;;;;;
MVPTP_CALI_20_4.dat;20;969,46;20;9;3,225;7,022;0,459270863;0,0043127;;;;;;;;;;;
MVPTP_CALI_20_5.dat;20;873,16;20;9;4,068;7,638;0,532600157;0,0037766;;;;;;;;;;;
MVPTP_CALI_24_1.dat;24;969,08;23;4;2,169;9,441;0,229742612;0,0058191;;;;;;;;;;;
MVPTP_CALI_24_2.dat;24;934,02;22;4;2,046;9,778;0,209245244;0,0058276;;;;;;;;;;;
MVPTP_CALI_24_3.dat;24;801,09;23;6;2,098;8,814;0,238030406;0,0054006;;;;;;;;;;;
MVPTP_CALI_24_4.dat;24;938,21;24;6;1,892;6,2;0,30516129;0,0051048;;;;;;;;;;;
MVPTP_CALI_24_5.dat;24;703,48;23;7;2,363;8,016;0,294785429;0,0047409;;;;;;;;;;;
MVPTP_CALI_28_1.dat;28;765,39;26;4;1,738;12,408;0,140070922;0,0059163;;;;;;;;;;;
MVPTP_CALI_28_2.dat;28;803,89;26;2;1,097;12,041;0,09110539;0,0060625;;;;;;;;;;;
MVPTP_CALI_28_3.dat;28;1059,19;27;11;4,614;11,334;0,4070937;0,0059817;;;;;;;;;;;
MVPTP_CALI_28_4.dat;28;1239,82;28;10;3,039;7,635;0,398035363;0,0066438;;;;;;;;;;;
MVPTP_CALI_28_5.dat;28;1050,4;26;8;2,701;8,539;0,316313386;0,0062799;;;;;;;;;;;
MVPTP_CALI_8_1.dat;8;507,08;8;8;2,83;2,83;1;0,0010269;;;;;;;;;;;
MVPTP_CALI_8_2.dat;8;441,18;8;8;2,851;2,851;1;0,0010111;;;;;;;;;;;
MVPTP_CALI_8_3.dat;8;478,05;8;6;2,966;3,479;0,852543834;0,0013743;;;;;;;;;;;
MVPTP_CALI_8_4.dat;8;696,69;8;8;3,142;3,142;1;0,0014198;;;;;;;;;;;
MVPTP_CALI_8_5.dat;8;653,77;8;8;2,749;2,749;1;0,0011497;;;;;;;;;;;
