INSTANCIA,COBERTURA F1,DISTANCIA F1 [km],F1: Y_i,VEHICULOS F1,F1 solve_result_num,GAP F1,COBERTURA F2,DISTANCIA F2 [km],F2: Y_i,VEHICULOS F2,F2 solve_result_num,GAP F2,TIEMPO F1+F2 [s]
MVPTP_CALI_12_1,1.0,1439.99,F1;F10;F11;F12;F2;F3;F4;F5;F6;F7;F8;F9,22,0,0.0,1.0,770.92,F1;F10;F11;F12;F2;F3;F4;F5;F6;F7;F8;F9,22,402,0.051341,301.66119623184204
MVPTP_CALI_12_2,1.0,1366.34,F1;F10;F11;F12;F2;F3;F4;F5;F6;F7;F8;F9,22,0,0.0,1.0,827.0799999999999,F1;F10;F11;F12;F2;F3;F4;F5;F6;F7;F8;F9,22,402,0.05361,301.8625771999359
MVPTP_CALI_12_3,1.0,1310.65,F1;F10;F11;F12;F2;F3;F4;F5;F6;F7;F8;F9,22,0,0.0,1.0,798.6099999999991,F1;F10;F11;F12;F2;F3;F4;F5;F6;F7;F8;F9,22,402,0.17404,388.2905809879303
MVPTP_CALI_12_4,1.0,891.01,F1;F10;F11;F12;F2;F3;F4;F5;F6;F7;F8;F9,22,0,0.0,1.0,529.7199999999998,F1;F10;F11;F12;F2;F3;F4;F5;F6;F7;F8;F9,21,402,0.0959,301.4139437675476
MVPTP_CALI_12_5,1.0,1263.06,F1;F10;F11;F12;F2;F3;F4;F5;F6;F7;F8;F9,22,0,0.0,1.0,717.3199999999999,F1;F10;F11;F12;F2;F3;F4;F5;F6;F7;F8;F9,21,402,0.14119199999999998,302.8302791118622
MVPTP_CALI_16_1,0.75,1280.59,F1;F10;F12;F13;F14;F15;F16;F2;F3;F5;F6;F9,22,402,0.333333,0.75,865.3499999999998,F1;F10;F12;F13;F14;F15;F16;F2;F3;F5;F6;F9,21,402,0.393563,601.3029205799103
MVPTP_CALI_16_2,0.75,1363.85,F1;F10;F11;F12;F13;F14;F16;F3;F4;F5;F6;F9,22,402,0.333333,0.75,864.1299999999997,F1;F10;F11;F12;F13;F14;F16;F3;F4;F5;F6;F9,22,402,0.470982,601.542475938797
MVPTP_CALI_16_3,0.8125,1171.5,F1;F10;F11;F12;F13;F15;F16;F3;F4;F6;F7;F8;F9,22,402,0.23076899999999997,0.8125,659.7699999999994,F1;F10;F11;F12;F13;F15;F16;F3;F4;F6;F7;F8;F9,19,402,0.47854599999999997,601.8319270610809
MVPTP_CALI_16_4,0.75,966.4700000000001,F1;F11;F12;F13;F14;F15;F16;F2;F3;F5;F6;F8,22,402,0.333333,0.75,557.06,F1;F11;F12;F13;F14;F15;F16;F2;F3;F5;F6;F8,22,402,0.355043,601.4895012378693
MVPTP_CALI_16_5,0.875,979.6699999999998,F1;F10;F12;F13;F15;F16;F2;F3;F4;F5;F6;F7;F8;F9,22,402,0.142857,0.875,547.3,F1;F10;F12;F13;F15;F16;F2;F3;F4;F5;F6;F7;F8;F9,22,402,0.36168500000000003,601.4116735458374
